# 11b5L
#  the book of Isaiah
# zavTu transliteration
# by john.david jones
# ozazL
#
#  abcde
#  fghij
#  kLmno
#  pqrsT
#  tuvxz
#--
#  a as in father
#  b as in baby
#  c as in chess
#  d as in day
#  e as in help
#  f as in father
#  g as in good
#  h as in hello 
#  i as in me
#  j as in jupiter
#  k as in katherine
#  L as in lamb
#  m as in make
#  n as in now
#  o as in open 
#  p as in padre
#  q as in quickly
#  r as in rope
#  s as in simple
#  T like Today
#  t as in thanks
#  u as in Tube
#  v as in very
#  x as is nexT
#  z as in zebra
#--
#  one syllable per vowel
#  ubzeiu -> ub-ze-i-u  
#-----------------------ch 1
. : .
your : femaza 
eyes : fenaneT 
will : danaLeu
to_see : uzeTu
the : da
king : vacu 
in : uL
all : bom
his : saLza
beauty : qooLiif   
, : ,
they : mi
will : danaLeu
to_behold : upasuntu
a : a
land : nomta 
that : idta
to_stretch : ufdavatexu
far : hova
away : ereizi
. : .
your : famaza
mind : bahuiqa
will : danaLeu
to_muse : uLifau
on : aL
the : da
terror : tavzaz
'? : '? qqi
where : Lefhi
to_be : uamu
the : da
one : eLikam
who : qiqp
to_count (past) : ujuoLto
'? : qqu '?
'? : '? qqi
where : Lefhi
to_be : uamu
the : da
one : eLikam
who : qiqo
to_weigh (past) : uzauqaso
the : da
tribute : tazupodi
'?  qqu
'? : '? qqi
where : Lefhi 
to_be : uamu
the : da
one : eLikam
who : qiqo
to_count (past) : ujuoLto
the : da
towers : duvLuT
'? : qqu '?
no : iL
longer : numqiziz
will : danaLeu
you : fema
to_see : uzeTa
the : da
insolent : duLfunamduzi
people : kuunim
, : ,
the : da
people : kuunim 
of : asu
a : a
obscure (adj) : apfexozimo
speech : bubisio
that : idta
you : fema
not : mot
to_be_able : tupaepna
to_comprehend : ujuLbavasintu
, : ,
stammering : ufadenLavuka
in : uL
a : a
language : nomqooka
you : fema
not : mot
to_be_able : tupaepna
to_understand : uunLavau
. : .
to_look (imp) : unaugoa
on : aL
zion : zion
, : ,
the : da
city : qoiboLqe
of : asu
our : Lamza
appointed : ebaemditmo
festivals : hafduremim
. : .
your : femaza
eyes : fenaneT
will : danaLeu
to_see (fut) : uzeTi
jerusalem : jerusaLem
, : ,
a : a
quiet : giuatmo
habitation : sopetoteaL
, : ,
a : a
immovable (adj) : unLuzopmimo
tent : tamda
, : ,
whose : fahiza
stakes : fadegihaT
will : danaLeu
never : mazav
to_to_be : tupa
pulled : gubinmuni
up : maoho
, : ,
and : oxe
none : muma
of : asu
whose : fahiza
ropes : vubaT
will : danaLeu
to_to_be : tupa
broken : cupzioquni
. : .
but : pit
there : dava
the : da
lord : etme
in : uL
majesty : Loxafdu
will : danaLeu
to_be : uamu
for (prep) : huvuin
us : La
a : a
place : obamexiu
of : asu
broad : pazaoTmo
rivers : exuqeT
and : oxe
streams : fadvaenim
, : ,
where : Lefhi
no : iL
galley : konmii
with : qemhe
oars : aovim
to_be_able : tupaepna
to_go : uLamLu 
, : ,
nor : muz
stately (adj) : fadedimumo
ship : noure
to_be_able : tupaepna
to_pass : ubofhau
. : .
for (conj) : huvupu
the : da
lord : etme
to_be : uamu
our : Lamza 
judge (noun) : cuxiTqihu
. : .
the : da
lord : etme
to_be : uamu
our : Lamza
ruler : vinava
. : .
the : da
lord : etme
to_be : uamu
our : Lamza
king  vacu
. : .
he : sa
will : danaLeu
to_save : ufozau
us : La
. : .
then : fenmaem
prey : bazii
and : oxe
plunder (noun) : obamoLTavin
in : uL
abundance : epoLTomuxa
will : danaLeu
to_to_be : tupa
divided : guTezeTaTni
. : .
even : iriL
the : da
lame (noun, pl) : onoLaT
will : danaLeu
to_fall : uhonmu
to : tu
plundering : ubamoLTavuLka
. : .
and : oxe
no : iL
inhabitant : guLsopetomdu
will : danaLeu
to_say : ubofu
' : ' qi
i : eLe
to_be : uamu
sick : fejgumo
' : qu '
. : .
the : da
people : kuunim 
who : qiqo
to_live : unezu
there : dava
will : danaLeu
to_to_be : tupa
forgiven : guhuvqurinu
. : .
__: bobo
#----------------------------ch 34  
to_draw (imp) : uTzera
near (adv) : nasanmezi
, : ,
o : o
nations : moteuLim
, : ,
to_to_hear (imp) : tufnaa
. : .
o : o
people : kuunim
, : ,
to_give (imp) : ukeza 
heed : saita
. : .
to_let (imp) : unata
the : da
earth : iovTa
to_hear : ufnau
, : ,
and : oxe
all : bom
that : idta
to_fill : utuhenmu
it : fa
. : .
the : da
world : zavnuTaa
and : oxe
all : bom 
that : idta
to_come : ujuLau
from : hazani
it : fa  
. : .
for (conj) : huvupu
the : da
lord : etme
to_be : uamu
enraged (adj) : cuiLvokaTmo
against : egeemhutu
all : bom
the : da
nations : moteuLim
, : ,
and : oxe
furious (adj) : hiveaifmo
against : egeemhutu
all : bom
the : da
hordes : suvtim
. : .
he : sa
have : ueLanad
to_doom (past) : uTuano
them : miim
. : .
he : sa
have : ueLanad
to_give (past) : ukezo
them : miim
over : ariz 
for (prep) : huvuin
slaughter (noun) : ogufmeikfatavu
. : .
their : miza
slain (noun, pl) : ofameiT
shall : ufanmu
to_to_be : tupa
cast : cujifduni
out : aut
, : ,
and : oxe
the : da
stench : afdiLuxa 
of : asu
their : miza
corpses : juvbufaT
shall : ufanmu
to_rise : uveru
. : .
the : da
mountains : ziazuT
shall : ufanmu
to_flow : uhmaru
with : qemhe 
their : miza
blood : zave
. : .
all : bom
the : da
host : sufdu
of : asu
heaven : toerehu
shall : ufanmu
to_rot : uvutu
away : ereizi
, : ,
and : oxe
the : da
skies : faquT
will : danaLeu
to_roll : uvunmu
up : maoho
like : qiuL
a : a
scroll : fexvunma
. : .
all : bom
their : miza
host : sufdu
shall : ufanmu
to_wither : uzedavu
like : qiuL
a : a
leaf : naehu
withering : uzedavuka
on : aL
a : a
vine : zema
, : ,
or : az
like : qiuL
fruit : hazoet
withering : uzedavuka
on : aL
a : a
fig : fig
tree : bio
. : .
when : qom
my : eLem
sword : fazasa
have : ueLanad
to_drink (past) : uTzuLqo
its : safaza 
fill (noun) : ohenmu
in : uL
the : da
heavens : toerehuT
, : ,
lo : lo
it : fa
will : danaLeu
to_descend (fut) : uTafamti
upon : obam
edom : edom
, : ,
upon : obam
the : da
people : kuunim
i : eLe
have : danaLeu
to_doom (past) : uTuano
to : tu
judgement (noun) : ogexiTqiniLTu
. : .
the : da
lord : etme
to_have : utuseu
a : a
sword : fazasa
. : .
it : fa
to_be : uamu
sated (adj) : gufotaumo
with : qemhe
blood : zave
, : ,
it : fa
to_be : uamu
gorged (adj) : kukuvqiumo
with : qemhe
fat : vofre
, : ,
with : qemhe
the : da
blood : zave
of : asu
lambs : noLpaT
and : oxe
goats : kuedaT
, : ,
with : qemhe
the : da
fat : vofre
of : asu
the : da
kidneys : qeTLiiT
of : asu
rams : voLim
. : .
for (conj) : huvupu
the : da
lord : etme
to_have : utuseu
a : a
sacrifice : fojzusuxa
in : uL
bozrah : bozrah
, : ,
and : oxe
a : a
great : kaziotmo
slaughter (noun) : obufmeikfatavi
in : uL
the : da
land : nomta
of : asu
edom : edom
. : .
wild (adj) : zentamo
oxen : savgeT
shall : ufanmu
to_fall : uhonmu
with : qemhe
them : miim
, : ,
and : oxe
young : gamiamo
steers : fadiavim
with : qemhe
the : da
mighty : Lekfatimo
bulls : pinmiT
. : .
their : miza
land : nomta
shall : ufanmu
to_to_be : tupa
soaked : gufueguni
with : qemhe
blood : zave
, : , 
and : oxe
their : miza
soil : fuum
to_to_be : tupa
made : cuLoqauni
rich (adj) :  vejmo
with : qemhe
fat : vofre
. : .
for (conj) : huvupu
the : da
lord : etme
to_have : utuseu
a : a
day : bauri
of : asu
vengeance : ozamqiomexi
, : ,
a : a
year : eLmuf
of : asu
vindication : ozemtuxeduum
by : pi
zion's : zionza
cause (noun) : ojoohi
. : .
and : oxe
the : da
streams : fadvaenim 
of : asu
edom : edom
shall : ufanmu
to_to_be : tupa
turned : gutivLuni
into : duLtu
pitch (noun) : obetexasa
, : ,
and : oxe
her : soLza
soil : fuum
into : duLtu
sulpher : suLfer
. : .
her : soLza
land : nomta
shall : ufanmu
to_become : upajuLau
burning (adj) : kupivLuLkamo
pitch (noun) : obetexasa
. : .
night : mekasdu
and : oxe
day  : bauri
it : fa
shall : ufanmu
not : mot
to_to_be : tupa
quenched : qugiLjasuni
. : . : . : .: . : .
its : safaza
smoke : funagi
shall : ufanmu
to_go (fut) : uLamLi
up : maoho
forever : huvazav
. : .
from : hazani
generation : fiqibunru
to : tu
generation : fiqibunru
, : ,
it : fa
shall : ufanmu
to_to_be : tupa
a : a
waste (noun) : oruzofdiu
. : .
no : iL
one  eLikam
shall : ufanmu
to_pass (fut) : ubofhai
through : dazo
it : fa
, : ,
forever : huvazav
and : oxe
forever : huvazav
. : .
but : pit
the : da
hawk : sozga
and : oxe
the : da
hedgehog : feumu
shall : ufanmu
to_possess (fut) : ubufhihafi
it : fa
. : .
the : da
owl : arnu
and : oxe
the : da
raven : vozam
shall : ufanmu
to_live (fut) : unezi
in : uL
it : fa
. : .
he : sa
shall : ufanmu
to_stretch (fut): ufdavatexi
the : da
line : nema
of : asu
confusion : opujumsohu
over : ariz
it : fa
. : .
and : oxe
the : da
plummet (noun) : obamonLat
of : asu
chaos :  jafeuf
over : ariz
its : safaza
nobles (noun, pl) : omupmimoT
. : .
they : mi
shall : ufanmu
to_name (fut) : umoLi
it : fa
' : ' qi
no : iL
kingdom : zondegoLto
there : dava
. : .
' : qu '
, : ,
and : oxe
all : bom
its : safaza 
princes : bazuLjaT
shall : ufanmu
to_to_be : tupa
nothing : eemhob
. : .
thorns : duvaLim
shall : ufanmu
to_grow (fut) : ukzari
over : ariz
its : safaza
strongholds : zosrosuntaT
, : ,
and : oxe
nettles : matdanaT
and : oxe
thistles : defdanaT
in : uL
its  safaza
fortresses : huvdavahfuT
. : .
it : fa
shall : ufanmu
to_to_be : tupa
the : da
haunt (noun) : osooLtu
of : asu
jackals : exojgemim
, : ,
and : oxe
a : a
abode : epati
of : asu
ostriches : fadvithuT
. : .
wildcats : zentjotim
shall : ufanmu 
to_meet (fut) : uLaidi
with : qemhe
hyenas : siiLeT
. : .
goat : kueda
demons : TaLumim
shall : ufanmu
to_call (fut) : ujonmi
to : tu
each : iojaf
other : aTiz
. : .
there : dava 
also : emfuzi
lilith : LiLit
shall : ufanmu
to_repose (fut) : ujuvabufi
, : ,
and : oxe
to_find (fut) : unoudei
a : a
place :  obamexiu
to_to_rest (fut) : tuvafdi
. : .
there : dava
shall : ufanmu
the : da
owl : arnu
to_nest (fut) : umafdi
and : oxe
to_lay (fut) : unoui
and : oxe
to_hatch (fut) : usotexi
and : oxe
to_brood (fut) : upazauTi
in : uL
its : safaza 
shadow : ofafetar
. : .
there : dava 
also : emfuzi
the : da
buzzards : pirvezTaT
shall : ufanmu
to_gather (fut) : ukodavi
, : ,
each : iojaf
one : eLikam
with : qemhe
its : safaza
mate (noun) : oLota
. : .
to_seek (imp) : ufaiga
and : oxe
to_read (imp) : uvaeta
from : hazani
the : da
book : qevce
of : asu
the : da
lord : etme
. : .
not : mot
one : eLika
of : asu
these : dafa
shall : ufanmu
to_to_be : tupa
missing (adj) : LefhuLkmo
. : .
not : mot
one : eLikam
shall : ufanmu
to_to_be : tupa
without (adv) : zeduodzi
its : safaza
mate : oLota
. : .
for (conj) : huvupu
the : da
mouth : LuoTu
of : asu
the: da
lord : etme
have : ueLanad
to_command (past) : ujuLneLTo
, : ,
and : oxe
his : saLza
spirit : samgu
have : ueLanad
to_gather (past) : ukodavo
them : miim
. : .
he : sa
have : ueLanad
to_cast (past) : ujofdo
the : da
lot : nut
for (prep) : huvuin
them : miim
. : .
his : saLza
hand : qafe
have : ueLanad
to_portion (past) : ubuvduumo
out : aut
to : tu
them : miim
with : qemhe
the : da
line : nema
. : .
they : mi
shall : ufanmu
to_possess (fut) : ubufhihafi
it : fa
forever : huvazav
. : .
from : hazani
generation : fiqibunru
to : tu
generation : fiqibunru
they : mi
shall : ufanmu
to_live (fut) : unezi
in  : uL
it : fa
. : .
__: bobo
#------------------------ch 35  
the : da
wilderness : izenoe
and : oxe
the : da
dry (adj) : muTzuimo
land : nomta
shall : ufanmu
to_to_be : tupa
glad (adj) : kametmo
, : ,
the : da
desert (noun) : oTafavdu
shall : ufanmu
to_rejoice : uvaxuuxau
and : oxe
to_blossom : upmahfuLu
. : .
like : qiuL
the : da
crocus : krokus
, : ,
it : fa
shall : ufanmu 
to_blossom : upmahfuLu
abundantly (adv) : epoLTomuxazi
, : ,
and : oxe
to_rejoice : uvaxuuxau 
with : qemhe
joy : uma
and : oxe
singing (noun) : obufumquLka  
. : .
the : da
glory : kumazu
of : asu
Lebanon : Lebanon
shall : ufanmu
to_to_be : tupa
given : cukezamuni
to  : tu
it : fa
, : ,
and : oxe 
the : da
majesty : Loxafdu
of : asu
carmel : karmeL
and : oxe
sharon : saharon
. : .
they : mi
shall : ufanmu
to_see : uzeTu  
the : da
glory : kumazu
of : asu
god : kut
, : ,
the : da
majesty : Loxafdu
of : asu
our : Lamza 
god : kut
. : .
to_strengthen (imp) : ufadvamqadiLa
the : da
weak : zaegmo
hands : qafeT
, : ,
and : oxe
to_make (imp) : uLaqaa
firm (adj) : hevnomo
the : da
feeble : haipnamo
knees : qaLiaT
. : .
to_say (imp) : ubofa
to : tu
those : dufa
who : qiqo
to_be : uamu
of : asu
a : a
fearful (adj) : bangahinmo
heart : fiTam
' : ' qi
to_be (imp) : uama
strong (adj) : zosroTmo
. : .
here : dava
to_be : uamu
your . : . : . : .: . : .femaza
god : kut
he : sa
will : danaLeu
to_come : ujuLau
with : qemhe
vengeance : ozamqiomexi
, : ,
with : qemhe
terrible : tavzupnamo
recompense (noun) : ovajuLbiLfa
. : . : . : .: . : . : . : .
he : sa
will : danaLeu
to_come : ujuLau
and : oxe
to_save : ufozau
you : fema
' : qu '
then : fenmaem
the : da
eyes : fenaneT 
of : asu
the : da
blind (noun, pl) : opamuLtuT
shall : ufanmu
to_to_be : tupa
opened : cuabiLitni
, : ,
and : oxe
the : da
ears : quvreT
of : asu
the : da
deaf (noun, pl) : oTaesim
unstopped : guoLfdabubaTni
. : .
then : fenmaem
the : da
lame (noun, pl) : onoLaT
shall : ufanmu
to_leap : unaebu
like : qiuL
a : a
deer : Taiz
, : ,
and : oxe
the : da
tongue : otumqoa
of : asu
the : da
speechless : bubisionafhu
shall : ufanmu
to_sing (fut) : ufemqi
for (prep) : huvuin
joy : uma
. : .
for (conj) : huvupu
waters : zifeT
shall : ufanmu
to_break : upzioqu
forth : huvaTzi
in : uL
the : da
wilderness : izenoe
, : ,
and : oxe
streams : fadvaenim
in : uL
the : da
desert : oTafavdu
. : .
the : da 
burning (adj) : gubivLuLkamo
sand : fomtu
shall : ufanmu
to_become : upajuLau
a : a
pool : buaam
, : ,
and : oxe
the : da 
thirsty (adj) : devhatmo
ground : kizaimtu
springs : fabvemqaT
of : asu
water : zife
. : .
the : da
haunt : osooLtu
of : asu
jackals : exojgemim
shall : ufanmu
to_become : upajuLu
a : a
swamp : farenba
. : .
the : da
grass : viafa
shall : ufanmu
to_become : upajulau   
reeds : vaiTaT
and : oxe
rushes : vifafim
. : .
a : a
highway : sekfazou
shall : ufanmu
to_to_be : tupa
there : dava
, : ,
and : oxe
it : fa
shall : ufanmu
to_to_be : tupa
called : pujojnamauni
' : ' qi
the : da
holy : suni
way : zou
. : .
' : qu '
. : .
the : da
unclean (noun, pl) : ozoLjmiemaT
shall : ufanmu
not : mot
to_travel : utazerimu
on : aL
it : fa
. : .
but : pit
it : fa
shall : ufanmu
to_to_be : tupa
for (prep) : huvuin
god's : kutza 
people : kuunim
. : .
no : iL
traveler : otazerimez
, : ,
not : mot
even : iriL
fools : tibavifim
, : ,
shall : ufanmu
to_go : uLamLu
astray (adv) : ehtazeizi
. : .
no : iL
lion : neaLa
shall : ufanmu
to_to_be : tupa
there : dava
, : ,
nor : muz
shall : ufanmu
any : eLu
ravenous (adj) : vozamuohzi
beast : paehat
to_come : ujuLau
up : maoho
on : aL
it : fa
. : .
they : mi
shall : ufanmu
not : mot
to_to_be : tupa
found : cuhemtuni
there : dava
, : ,
but : pit
the : da
redeemed (noun, pl) : opuvaTauniT
shall : ufanmu
to_walk : uzongu
there : dava
. : .
and : oxe
the : da
ransomed (noun, pl) : ocuvomhanuniT
of : asu
the : da
lord : etme
shall : ufanmu
to_return : uvativLu
, : ,
and : oxe
to_come (fut) : ujuLai
to : tu
zion : zion
with : qemhe 
singing (noun) : obufumquLka
. : .
everlasting : iriznofduLkamo
joy : uma
shall : ufanmu
to_to_be : tupa
upon : obam
their : miza
heads : baetim
. : .
they : mi
shall :ufanmu
to_obtain : uaptouLu
joy : uma
and : oxe
gladness : okumetmafha
, : ,
and : oxe
sorrow : fuvzara
and : oxe
sighing (noun) : obufekfuLka
shall : ufanmu
to_flee : uhmiadu
away : ereizi
. : .
__: bobo
#-----------------------------ch 36  
in : uL
the : da
year : eLmuf
fourteen : eLikaki
of : asu
king : vacu
hezekiah : hezekiah
, : ,
king : vacu
sennacherib : senacerib
of : asu
assyria : asiria
to_come  (past): ujuLao
up : maoho
against : egeemhutu
all : bom
the : da
fortified (adj) : quhuvdusimo
cities : qoiboLqeT
of : asu
judah : judah
, : ,
and : oxe
he : sa
to_capture (past) : ujobdozio
them : miim
. : .
the : da
king : vacu
of : asu
assyria : asiria
to_send (past) : ufamto
rabshakeh : rabsakeh
from : hazani
Lachish : Lacis
to : tu
king : vacu
hezekiah : hezekiah
at : ed
jerusalem : jerusaLem
, : ,
with : qemhe
a : a
great : kaziotmo
army : ezLaxo
. : .
he : sa
to_stand (past) : uqomdeo
near (adv) : nasanmezi
the : da
conduit : jumtoet
of : asu
the : da
upper : gobabavmo
pool : buam
, : ,
on : aL
the : da
highway : sekfazou
to : tu
the : da
fuller's : hinmizuza
field : heimtu
. : .
and : oxe
there : dava
to_come (past) : ujuLao
out : aut
to : tu
him : saL
eliakim : eLiakim
son : buuge
of : asu
hilkiah : hiLkiah
, : ,
who : qiqo
to_be (past) : uamo
in : uL
charge (noun) : ojafezka
of : asu
the : da
palace : bonoja
, : ,
and : oxe
shebna : sebna
the : da
secretary : fajzidezu
, : ,
and : oxe
joah : joah
son : buuge
of : asu
asaph : asaf
, : ,
the : da
recorder (noun) : ovajuvatiz
. : .
the : da
rabshakeh : rabsakeh
to_say (past) : ubofo
to : tu
them : miim
' : ' qi
to_say (imp) : ubofa
to : tu
king : vacu
hezekiah : hezekiah
' : ' qiqi
thus : difazi 
to_say : ubofu
the : da
great : kaziotmo
king : vacu
, : , 
the : da
king : vacu
of : asu
assyria : asiria
'? : '? qqi
on : aL
what : Leta
you : fema
to_base : upofau
your : femaza
confidence : jumsetilja
'? : qqu '?
'? : '? qqi
on : aL
who : qiqo
you : fema
now : mit
to_rely : uvaniu
, : ,
that : idta
you : fema
have : ueLanad
to_rebel (past) : uvapano
against : egeemhutu
me : eLem
'? : qqu '?
' : qu 'qu
to_see (imp) : uzeTa
, : ,
you : fema
to_be : uamu
relying : uvaniuLka
on : aL
egypt : iqubtu
, : ,
that : idta
broken (adj) : pazagiLmo
reed : vaiTa
of : asu
a : a
staff : fadesha
, : ,
which : zexu
will : danaLeu
to_pierce : ubeizjau
the : da
hand : qafe
of : asu
anyone : eLuuma
who : qiqo
to_lean : unaeLu
on : aL
it : fa
. : .
such (adj) : fijafmo
to_be : uamu
pharaoh : faraoh
, : ,
king : vacu
of : asu
egypt : iqubtu
to : tu
all : bom
who : qiqo
to_rely : uvaniu
on : aL
him : saL
. : .
but : pit
if : fux
you : fema
to_say : ubofu
to : tu
me : eLem
' : ' qiqi
we : Lam 
to_rely : uvaniu
on : aL
the : da
lord : etme
our : Lamza 
god : kut  
. : .
' : qu 'qu
'? : '? qqi
to_be : uamu
it : fa
not : mot
he : sa
whose : fahiza
high : sekfamo
places : obamexiuT
and : oxe
altars : emtovaT
hezekiah : hezekiah
have : ueLanad
to_remove (past) : uvaLuzao
, : ,
to_say : ubofu
to : tu
judah : judah
and : oxe
jerusalem : jerusaLem
' : ' qiqi
you (pl) :femaT
shall : ufanmu
to_worship (imp) : ubouraLtoa
before (prep) : pahuvin
this : def
altar : emtova
. : .
' : qu 'qu
'? : qqu '?
to_come (imp) : ujuLaa
now : mit
to_make (imp) : uLaqaa
a : a
wager : ozokav
with : qemhe
my : eLemza
master : duheLta
the : da
king : vacu
of : asu
assyria : asiria
. : .
i : eLe
will : danaLeu
to_give (fut) : ukezi
you : fema
two_thousand : eLipaTaTaTa
horses : suvhiT
if : fux
you : fema
to_be_able : tupaepna
to_set : ufatu
riders : puveTavim
on : aL
them : miim
. : .
'? : '? qqi
how : suo
then : fenmaem
to_be_able : tupaepna
you : fema
to_repulse : uvabinhiu
a : a
single (adj) : femqanamo
captain : jobdeem
among : enamku
the : da
least (adj) : naehtamomo
of : asu
my : eLemza
master's : duheLtaza
servants : foLtehim
, : ,
when : qom
you : fema
to_rely : uvaniu
on : aL
egypt : iqubtu
for (prep) : huvuin
chariots : joveadim
and : oxe
horsemen : suvhiLaihuT
'? : qqu '?
'? : '? qqi
to_be : uamu
it : fa
without : zeduodzi
the : da
lord : etme
that : idta
i : eLe
have : ueLanad
to_come (past) : ujuLao
up : maoho
against : egeemhutu
this : def
land : nomta
to_to_destroy : tutisutu  
it : fa
'? : qqu '?
the : da
lord : etme
to_say (past) : ubofo
to : tu
me : eLem
' : ' qiqi
to_go (imp) : uLamLa
up : maho
against : egeemhutu
this : def
land : nomta
and : oxe
to_destroy (imp) : utisuta
it : fa
. : .
' : qu 'qu
' : qu '
then : fenmaem
eliakim : eLiakim
, : ,
shebna : sebna
and : oxe
joah : joah
to_say (past) : ubofo
' : ' qi
please (adv) : bamiofazi
to_speak : ubisiu
your : femazi
servants : foLtehim
in : uL
aramaic : aramaik
, : ,
for (conj) : huvupu
we : Lam
to_understand : uunLavau
it : fa
. : .
to_do (imp) : utuTua   
not :  mot
to_speak : ubisiu
in : uL
the : da
language : nomqooka
of : asu
judah : judah
within (prep) : zedumin
hearing (noun) : osaezuLka
of : asu
the : da
people : kuunim
who : qiqo
to_be : uamu
on : aL 
the : da
wall : zenma
. : .
' : qu '
but : pit
rabshakeh : rabsakeh
to_say (past) : ubofo
' : ' qi
'? : '? qqi
have : ueLanad
my : eLemza
master : duheLta
to_send (past) : ufamto
me : eLem
to_to_speak : tubisiu
these : dafa
words : zavTuT
to : tu
your (pl) : femaTza
lord : etme
and : oxe
to : tu
you (pl) : femaT
, : ,
but : pit
not : mot
to : tu
the : da
people : kuunim
sitting : ufetauLka
on : aL
the : da
wall : zenma
who : qiqo
to_be : uamu
doomed (adj) : TuaLitmo
with : qemhe
you (pl) : femaT
to_to_eat (fut) : tueiqamau
their : miza
own : armu
dung : Timqa
and : oxe
to_to_drink (fut) : tuTzuLqi
their : miza
own : armu
urine : ozuLi
'? : qqu '?
' : qu '
then : fenmaem
the : da
rabshakeh : rabsakeh
to_stand (past) : uqomdeu
and : oxe
to_call (past) : ujonmo
out : aut
in : uL
a : a
loud (adj) : quzomo
voice : zuuxi
in : uL
the : da
language : nomqooka
of : asu
judah : judah
' : ' qi
to_hear (imp) : ufnaa
the : da
words : zavTuT 
of : asu
the : da
great : kaziotmo
king : vacu
, : ,
the : da
king : vacu 
of : asu
assyria : asiria
thus : difazi
to_say : ubofu
the : da
king : vacu
' : ' qiqi
to_do : tuTuu
not : mot
to_let : unatu
hezekiah : hezekiah
to_deceive : uTajauriu
you (pl) : femaT
, : ,
for (conj) : huvupu
he : sa
will : danaLeu
not : mot
to_be_able : tupaepna
to_deliver (fut) : uTanezavi
you (pl) : femaT
. : .
to_do : tuTuu
not : mot
to_let : unatu
hezekiah : hezekiah
to_make : uLaqau
you (pl) : femaT
to_rely : uvaniu
on : aL
the : da
lord : etme
by : pi 
saying : ubofuLka
' : ' qiqiqi
the : da
lord : etme
will : danaLeu
surely : fivamuzi
to_deliver (fut) : uTanezavi
us : La
. : .
this : def
city : qoiboLqe
will : danaLeu
not : mot
to_be : uamu
given : cukezamuni
into : duLtu
the : da
hand : qafe
of : asu
the : da
king : vacu 
of : asu
assyria : asiria
. : .
' : qu 'ququ
' : qu 'qu
to_do : tuTuu
not : mot
to_listen : unefdiLu
to : tu
hezekiah : hezekiah
. : . : . : .: . : .
for (conj) : huvupu
to_say : ubofu
the : da
king : vacu
of : asu
assyria : asiria
' : ' qiqi
to_make (imp) : uLaqaa
your : femaza
peace : voose
with : qemhe
me : eLem
and : oxe
to_come (imp) : ujuLaa
out : aut
to : tu
me : eLem
. : .
then : fenmaem
every : exuqo
one : eLikam
of : asu
you (pl) : femaT
will : danaLeu
to_eat (fut) : ueiqamau
from : hazani 
your : femaza
own : armu
vine : zema
and : oxe
your : femaza
own : armu
fig : fig
tree : bio
, : ,
and : oxe
to_drink (fut) : uTzuLqi
from : hazani
your : femaza
own : armu
cistern : exuhtavLa
, : ,
until : boLten
i : eLe
to_come : ujuLau
and : oxe
to_take : utoqau  
you : fema
away : ereizi
to : tu
a : a
land : nomta
like : qiuL
your : femaza
own (adj) : qarmumo
land : nomta
, : ,
a : a
land : nomta
of : asu
grain : kazeema
and : oxe
wine : zeume
, : ,
a : a
land : nomta
of : asu
bread : naube
and : oxe
vineyards : zemaiovTaT
. : .
to_do : tuTuu
not : mot
to_let : unatu
hezekiah : hezeiah
to_mislead : uLefnoatu
you : fema
by : pi
saying : ubofuLka
' : ' qiqiqi
the : da
lord : etme
will : danaLeu
to_save (fut) : ufozai
us : La
. : .
'  : quququ
'? : '? qqi
have : uelanad
any : eLu
of : asu
the : da
gods : kutim
of : asu
the : da
nations : moteuLim
to_save (past) : ufozao
their : miza
land : nomta
out : aut
of : asu
the : da
hand : qafe
of : asu
the : da
king : vacu 
of : asu
assyria : asiria
'?  qqu
'? : '? qqi
where : Lefhi
to_be : uamu
the : da 
gods : kutim
of : asu
hamath : hamat
and : oxe
arpad : arpad
'? : qqu '?
'? : '? qqi
where : Lefhi
to_be : uamu
the : da
gods : kutim
of : asu
sepharvaim : sefarvaim
'? : qqu '?
'? : '? qqi
have : ueLanad
they : mi
to_deliver (past) : uTanezavo
samaria : samaria
out : aut
of : asu
my : eLemza
hand : qafe
'? : qqu '?
'? : '? qqi
who : qiqo
among : enamku
all : bom
the : da
gods : kutim
of : asu
these : dafa
nations : moteuLim
have : ueLanad
to_save (past) : ufozao
their : miza
nation : moteuL
out : aut
of : asu
my : eLemza
hand : qafe
, : ,
that : idta
the : da
lord : etme
should : fuomTuni
to_save : ufozau
jerusalem : jerusaLem
out : aut
of : asu
my : eLemza
hand : qafe
'? : qqu '?
' : qu 'qu
' : qu '
but : pit
they : mi
to_be (past) : uamo
silent : fenamdumo
and : oxe
not : mot
to_answer (past) : uzoftedeo
him : saL
, : , 
for (conj) : huvupu
the : da
king's : vacuza
command (noun) : opujuneLTu
to_be (past)  uamo
' : ' qi
to_do (imp) : tuTua
not : mot
to_answer : uzoftedeu
him : saL
. : .
' : qu '
then : fenmaem
eLiakim : eLiakim
son : buuge
of : asu
hilkiah : hiLkiah
, : ,
who : qiqo
to_be (past) : uamo
in : uL
charge (noun) : ojafezka
of : asu
the : da
palace : bonoja
, : ,
and : oxe
shebna : sebna
the : da
secretary : fajzidezu
, : ,
and : oxe
joah : joah
son : buuge
of : asu
asaph : asaf
, : ,
the : da
recorder (noun) : ovajuvatiz
, : ,
to_come (past) : ujuLao
to : tu
hezekiah : hezekiah
with : qemhe
their : miza
garments : kovniLtim
torn (adj) : tuvLamo
, : ,
and : oxe
to_tell (past) : uqavduo
him : saL
the : da
words : zavTuT
of : asu
the : da
rabshakeh : rabsakeh
. : .
__: bobo
#------------------------------ch 37  
when : qom
