# 11b5L
#  the book of Isaiah
# zavTu transliteration
# by john.david jones
# ozazL
#-----------------------ch 1
one : eLikam
who : qiqo
to_strike (past) : udavoqo
them : miim
but : pit
will : danaLeu
to_lean : unaLeu
on : aL
the : da
lord : etme
the : da
holy : suni
one : eLikam
of : asu
israel : israeL
, : ,
in : uL
truth : bentuu
. : .
a : a
remnant : vaLaLeLta
will : danaLeu
to_return : uvativLu
, : ,
the : da
remnant : vaLaLeLta
of : asu
jacob : jakob
, : ,
to : tu
the: da
mighty : Lekfatimo
God : kut
. : .
for (conj) : huvupu
though : duoqufa
your : femaza
people : kuunim
of : asu
israel : israeL
to_be (past) : uamo
like : qiuL
the : da
sand : fomtu
of : asu
the : da
sea : Lave
, : ,
only : oemueni
a : a
remnant : vaLaLeLta
of : asu
them : miim
will : danaLeu
to_return : uvativLu
. : .
destruction : omutisuta
to_be : uamu
decreed : cuTajziani
, : ,
overflowing : uarizhanruLka
with : qemhe
righteousness : vekfataafmafha
. : .
for (conj) : huvupu
the : da
lord : etme
of : asu
hosts : sufduT
will : danaLeu
to_make : uLaqau
a : a
full (adj) : hinmamo
end : iLTu
, : ,
as : eh
decreed : cuTajziani
, : ,
in : uL
all : bom
the : da
earth : iovTa
. : .
therefore : izqu
thus (adv) : difazi
to_say : ubofu
the : da
lord : etme
god : kut
of : asu
hosts : sufduT
. : .
o : o
my : eLemza
people : kuunim
who : qiqo
to_live : unezu
in : uL
zion : zion
not : mot
to_be : uamu
afraid (adj) : esvoetnimo
of : asu
the : da
assyrians : asirianim
when : qom
they : mi
to_beat : upaedu
you : fema
with : qemhe
a : a
rod : vuTa
and : oxe
to_lift : unehdu
their : miza
staff : fadesha
against : egeemhutu
you (pl) : femaT
as : eh
the : da
egyptians : iqubtukuunim
to_do (past) : utuTuo
. : .
for (conj) : huvupu
in : uL
a : a
very (adv) : tufezi
little : beiLu
while (noun) : ozafumi
my : eLemza
indignation : fiotdunoha
will : danaLeu
to_come : ujuLau
to : tu
a : a
end : iLTu
and : oxe
my : eLemza
anger : eLkav
will : danaLeu
to_to_be : tupa
directed : cuTevajduni
to : tu
their : miza
destruction : omutisuta
. : .
the : da
lord : etem
of : asu
hosts : sufduT
will : danaLeu
to_wield : uzeimTu
a : a
whip : viahqo
against : egeemhutu
them : miim
as : eh
when : qom
he : sa
to_strike (past) : ufdavoqo
midian : midian
at : ed
the : da
rock : vuqa
of : asu
oreb : oreb
. : .
his : saLza
staff : fadesha
will : danaLeu
to_to_be : tupa
over : ariz
the : da
sea : Lave
and :  oxe
he : sa
will : danaLeu
to_lift : unehdu
it : fa
as : eh
he : sa
to_do (past) : utuTuo
in : uL
egypt : iqubtu
. : .
on : aL
that : idta
day : bauri
his : saLza
burden : pivtiL
will : danaLeu
to_to_be : tupa
lifted : cunehduni
from : hazani
your : femaza
shoulders : fafaintizim
and : oxe
his : faza
yoke : buuqa
will : danaLeu
to_to_be : tupa
destroyed : cutisutuni
from : hazani
your : femaza
neck : majqa
. : .
he : sa
have : ueLanad
to_go (past) : uLamLo
up : maoho
from : hazani
rimmon : rimon
, : ,
he : sa
have : ueLanad
to_come  (past) : ujuLao
to : tu 
aiath : aiat
, : ,
he : sa
have : ueLanad
to_pass (past) : ubofhao
through : dazo
migron : migron
, : ,
at : ed
michmash : micmas
he : sa
to_store : ufdaziu
his : saLza
baggage (pl) : pokaqecimn  
. : .
they : mi
have : ueLanad
to_cross (past) : ujzahfo
over : ariz
the : da 
pass (noun) : obofha
, : , 
at : ed
geba : geba
they : mi
to_lodge : unuTqiu
for (conj) : huvupu
the : da
night : mekasdu
. : .
ramah : ramah
to_tremble : utzinpamiu
, : ,
gibeah : gibea
of : asu
saul : sauL
have : ueLanad
to_flee (past) : uhmiado
. : .
to_cry (imp) : ujzua
aloud (adv)  : emaiTzi
o : o
daughter : titav
gallim : gaLim
. : .
to_listen (imp) : unefdiLa
o : o 
laishah : Laisah
. : .
to_answer (imp) : uzoftedea
her : soL
o : o
anathoth : anatot
. : .
madmenah : madmenah
to_be : uamu
in : uL
flight : orupahmu
, : ,
the : da
inhabitants : guLsopetomduT
of : asu
gebim : gebim
to_flee : uhmidau
for (prep) : huvuin
safety : fohati
. : .
this : def 
very (adj) : tufemo
day : bauri
he : sa
will : danaLeu
to_halt :  usondu
at : ed
nob : nob
, : ,
he : sa
will : danaLeu
to_shake : ufafegiu
his : saLza
fist : hefda
at : ed
the : da
mountain : ziazu 
of : asu
daughter : titav
zion : zion
, : ,
the : da
hill : Laqe 
of : asu
jerusalem : jerusaLem
. : .
to_look (imp) : unaugoa
, : ,
the : da
sovereign : fuzavaukma
, : ,
the : da
lord : etme
of : asu
hosts : sufduT
will : danaLeu
to_lop : unubu
the : da 
boughs : puoqafim
with : qemhe 
terrifying (adj) : butizvuLkamo
power : zuuno
. : .
the : da
tallest (adj) : tonmimomo
trees : bioT
will : danaLeu 
to_to_be : tupa
cut : cujituni
down : TuzLa
and : oxe
the : da
lofty (noun) : onuhdu
will : danaLeu
to_be (fut) : uami
brought : rupzuLkni
low (adv) : nuzazi
. : .
he : sa
will : danaLeu
to_hack (fut) : usojgi
down : TuzLa
the : da
thickets : deqatim
of : asu
the : da
forest : huvafda
with : qemhe
a : a
axe : eji
and : oxe
lebanon : Lebanon
with : qemhe
its : safaza
majestic (adj) : Loxafdegmo
trees : bioT
, : ,
will : danaLeu
to_fall : uhonmu
. : .
__: bobo
#--------------------------ch 11 
a : a
shoot (noun) : ofufaut
shall : ufanmu
to_come (fut) :  ujuLai
out : aut
from : hazani
the : da
stump : fadonba
of : asu
jesse : jesi
and : oxe
a : a
branch : pazeLjaf
shall : ufanmu
to_grow (fut) : ukzarni
out : aut
of : asu
his : saLza
roots : vuadiT
. : .
the : da
spirit : samgu
of : asu
the : da
lord : etme
shall : ufanmu
to_rest : uvafdu
on : aL
him : saL
, : ,
the : da
spirit : samgu
of : asu
wisdom : zeftaL
and : oxe
understanding : opuunLavau
, : ,
the : da
spirit : samgu
of : asu
counsel : ojuoLfan
and : oxe
might (noun) : oLekfati
, : ,
the : da
spirit : samgu
of : asu
knowledge : buqaLaru
and : oxe
the : da
fear : cubangu
of : asu
the : da 
Lord : etme
. : .
his : saLza 
delight : obuTanetu
shall : ufanmu
to_to_be : tupa
in : uL
the : da
fear : cubangu
of : asu
the : da
lord : etme
. : .
he : sa
shall : ufanmu
not : mot
to_judge : ucuxiTqihuu
by : pi
what : Leta
his : saLza
eyes : fenaneT
to_see : uzeTu
or : az
to_decide : utianutu
by : pi
what : Leta
his : saLza
ears : quvreT
to_hear : ufnau
. : .
but : pit
with : qemhe
righteousness : vekfataafmafha
he : sa
shall : ufanmu
to_judge : ucuxiTqihuu
the : da
poor (noun, : , pl) : bauzim
and : oxe
to_decide : utianutu
with : qemhe 
equity : ikoeti
for (prep) : huvuin
the : da 
meek (noun, : , pl) : oLiagim
of : asu
the : da
Earth : iovTa
. : .
he : sa
shall : ufanmu
to_strike : ufdavoqu
the : da
earth : iovTa
with : qemhe
the : da
rod : vuTa
of : asu
his : saLza
mouth : LuoTu
. : .
and : oxe
with : qemhe
the : da
breath : ocupziodu
he : sa
shall : ufanmu
to_kill : utobabou
the : da
wicked (noun, pl) : obosiohaT
. : .
righteousness : vekfataafiha
shall : ufanmu
to_be (fut) : uami
the : da
belt : panda
around (prep) : ezaomtin
his : saLza
waist : zouhta
and : oxe
faithfulness (noun) : ohouThinmafha 
the : da
belt : panda
around : ezaomtin
his : saLza
loins : nuuLim
. : .
the : da
wolf : fifezunsa
shall : ufanmu
to_live : unezu
with : qemhe 
the : da
lamb : noLPa
. : .
the : da
leopard : naabezTa
shall : ufanmu
to_lay : unouu
down : TuzLa
with : qemhe 
the : da
kid : qeta
. : .
the : da
calf : jonsa
and : oxe
the : da
lion : neaLa
and : oxe
the : da
fatling : hotmuLka
together : kuftafhezi
. : .
and : oxe
a : a
little : beiLu
child : jentuu
shall : ufanmu
to_lead : unaetu
them : miim
. : .
the :  da
cow : nasnea
and : oxe
the : da
bear (noun) : qovafoa
shall : ufanmu
to_graze (fut) :  ukzevii
, : ,
their : miza
young (noun, : , pl) : obuuoLkmoT
shall : ufanmu
to_lay : unouu
down : TuzLa
together : kuftafhezi
. : .
and : oxe
the : da
lion : neaLa
shall : ufanmu
to_eat : ueiqamu
straw : fadvoza 
like : qiuL
the : da
ox : savgia
. : .
the : da
nursing (adj) : rumivhimo
child : jentuu
shall : ufanmu
to_play : ubmeiu
over : ariz
the : da
hole :  suna
of : asu
the : da
asp : ehba
. : .
and : oxe
the : da
weaned (adj) : cuzaeLmo
child : jentuu
shall : ufanmu
to_put : ubitu
his : saLza
hand : qafe
on : aL
the : da
den : Tama
of : asu
the : da
adder : etTava
. : .
they : mi
will : danaLeu
not : mot
to_hurt : usivdu
or : az
to_destroy : utisutu
on : aL
all : bom
my : eLemza
holy : suni
mountain : ziazu
. : .
for (conj) : huvupu
the : da
earth : iovTa
will : danaLeu
to_to_be : tupa
full (adv) : henmozi
of : asu
the : da
knowledge : buqaLaru
of : asu
the : da
lord : etme
as : eh
the : da
waters :  zifeT
to_cover : ujuzavu
the : da
sea : Lave
. : .
on : aL
that : idta
day : bauri
the : da
root : vuadi
of : asu
jesse : jesi
shall : ufanmu
to_stand : uqomdeu
as : eh
a : a
signal : fekLem
to : tu
the : da
peoples : kuunimim
, : ,
the : da 
nations : moteuLim
shall : ufanmu
to_inquire : uuLgiuziu
of : asu
him : saL
and : oxe
his : saLza
dwelling (n) : ocuTrimnu
shall : ufanmu
to_to_be : tupa
glorious (adj) : kumazuuohmo
. : .
on : aL
that : idta
day : bauri
the : da
lord : etme
will : danaLeu
to_extend : uijtamtu
his : saLza
hand : qafe
yet (conj) : cuatpu
a : a
second : eLipamzi
time : ieqo
to_recover : utuuboeu
the : da
remnant : vaLaLeLta
that : idta
to_remain : uvaLouLu
of : asu
his : saLza
people : kuunim
, : ,
from : hazani
assyria : asiria
, : ,
from : hazani 
egypt : iqubtu
, : ,
from : hazani
pathros : patros
, : ,
from : hazani
ethiopia : kus
, : ,
from : hazani
elam : eLam
, : ,
from : hazani
shinar : sinar
, : ,
from : hazani
hamath : hamat
, : ,
and : oxe
from : hazani
the : da
coastlands : juehtameLTim
of : asu 
the : da
sea : Lave
. : .
he : sa
will : danaLeu
to_raise : uvouhiu
a : a
signal : fekLem
for (prep) : huvin
the : da
nations : moteuLim
, : , 
and : oxe
he : sa
will : danaLeu
to_assemble : uefhaLpnau
the : da
outcasts : aitjofdaT
of  : as
israel : israeL
, : ,
and : oxe
to_gather : ukodavu
the : da
dispersed (noun, : , pl) : opuTefbizfaT
of : asu
judah : judah
from : hazani
the : da
four : eLikim
corners : juvLizim
of : asu
the : da
earth : iovTa
. : . : . : .: . : .
the : da
jealousy (noun) : opexaemaof
of : asu
ephraim : efraim
shall : ufanmu
to_depart : uTabovdu
. : . : . : .: . : .
the : da
hostility (noun) : osufdum
of : asu
judah : judah
shall : ufanmu
to_to_be : tupa
cut : cujituni
off : afvani
. : . : . : .: . : .
ephraim  : efraim
shall : ufanmu
not : mot
to_to_be : tupa
jealous (adj): exaemaofmo
of : asu
judah : judah
and : oxe
judah : judah
shall : ufanmu
not : mot
to_to_be : tupa
hostile (adj) : sufdumamo
toward (prep) : tuzovtin
ephraim : efraim
. : .
but : pit
they : mi
shall : ufanmu
to_swoop : ufraubu
down : TuzLa
on : aL
the : da
backs (noun) : opojguT 
of : asu
the : da
philisrtines : fiLisTinim
in : uL
the : da 
west : namhu
, : , 
together : kuftafhezi
they : mi
shall : ufanmu
to_plunder : uobamoLTavinu
the : da
people : kuunim
of : asu
the : da 
east : ude
. : .
they : mi
shall : ufanmu
to_put : ubitu
forth (adv) : huvaTzi
their : miza
hand  : qafe
against : egeemhutu
edom : edom
and : oxe
moab : moab
. : . : . : .: . : .
and : oxe
the : da
amonites : amoniTim
shall : ufanmu
to_obey : ueLTzu
them : miim
. : . : . : .: . : .
and : oxe
the : da
lord : etme
will : danaLeu
utterly (adv) : odtivmizi
to_destroy  : utisutu
the : da
tongue : otumqoa
of : asu
the : da
sea : Lave
of : asu
egypt : iqubtu
. : .
and : oxe
he : sa
will : danaLeu
to_wave : uzozau
his : saLza
hand : qafe
over : arazin
the : da
river : exuqe
with : qemhe
his : saLza
scorching (adj) : fexazjemo
wind : zemtu
. : .
and : oxe
he : sa
will : danaLeu
to_split : ufbanetu
it : fa
into : duLtu
seven : eLikum
channels : jomLimaT
and : oxe
to_make : uLaqau
a : a
way : zou
to_cross : ujzahfu
on : aL
foot : exonge
. : . : . : .: . : .
so : fu
there : dava
shall : ufanmu
to_to_be : tupa
a : a
highway : sekfazou
from : hazani
assyria : asiria
for (prep) : huvuin
the : da
remnant : vaLaLeLTa
that : idta
to_remain : uvaLouLu
of : asu
his : saLza
people : kuunim
, : ,
as : eh
there : dava
to_be (past) : uamo
for (conj) : huvupuzi
israel : israeL
when : qom
they : mi
to_come (past) : ujuLao
up : maoho
from : hazani
the  : da
land : nomta
of : asu
egypt : iqubtu
. : .
__: bobo
#--------------------------ch 12 
you : fema
will : danaLeu
to_say (fut) : ubofi
in : uL
that : idta
day : bauri
' : qi
i : eLe
will : danaLeu
to_give (fut) : ukezi
thanks : totuqeudahuT
to : tu
you : fema
o : o
lord : etme
for (conj) : huvupu
though : duoqufa
you : fema
to_be (past) : uamo
angry (adj) : eLkzumo
with : qemhe
me : eLem
, : , 
your : femaza
anger : eLkav
to_turn (past) : utivLo
away : ereizi 
, : ,
and : oxe
you : fema
to_comfort (past) : ujuLsazto
me : eLem
. : . : . : .: . : .
surely (adv) : fivamuzi
god : kut
to_be : uamu
my : eLemza
salvation : banofdohu
. : .
i : eLe
will : danaLeu
to_trust : utzohtu
and : oxe
i : eLe
will : danaLeu
not : mot
to_to_be : tupa
afraid : esvoetnimo
, : ,
for (conj) : huvupu
the : da
lord : etme
to_be : uamu
my :eLemza
strength : fadvamqad
and : oxe
my : eLemza
might (noun) : oLekfati
. : .
he : sa
have : ueLanad
to_become : upajuLau
my : eLemza
salvation : banofdohu
. : .
' : qu
with : qemhe
joy : uma
you : fema
will : danaLeu
to_take : utoqau
water : zife
from : hazani
the : da
wells : nastiT
of : asu
salvation : banofdohu
. : . : . : .: . : .
and : oxe
you : fema
will : danaLeu
to_say : ubofu
' : qi
to_give (imp) : ukeza
thanks : otuqeudahuT
to : tu
the : da
lord : etme
. : .
to_call (imp) : ujonma
on : aL
his : saLza
name : moL
. : . : . : .: . : .
to_make (imp) : uLaqaa
known (adj) : qaLarumamo
his : saLza
deeds : Taitim
among : enamku
the : da
nations : moteuLim
. : . : . : .: . : .
to_proclaim (imp) : ubzaxmouna
that : idta
his : saLza
name : moL
to_be : uamu
exalted : ruijemtiTani
. : .
to_sing (imp) : ufemqa
praises : ocubzoefaT
to : tu
the : da
lord : etme
, : ,
for (conj) : huvupu
he : sa
have : ueLanad
to_do (past) : utuTuo
gloriously (adv) : kumazuzi
. : .
to_let (imp) : unata
this : def 
to_to_be : tupa 
known : zuqaLaruni
in : uL
all : bom
the : da
earth : iovTa
. : .
to_shout (imp) : ufafaita
aloud (adv) : eamiTzi
and : oxe
to_sing (imp) : ufemqa
for (conj) : huvupuzi
joy  : uma
, : ,
o : o
royal (adj): vuuonmo
zion : zion
for (conj) : huvupu
great : kaziotmo
in : uL
your : femaza
midst : Lethaf
to_be  uamu
the : da
holy : suni
one : eLikam
of : asu
israel : israeL
. : .
' : qu
__: bobo
#------------------ch 13 
the : da
oracle : azexna
concerning : ujumexizmuLka
babylon : babaLon
that : idta
isaiah : isaiah
son : buuge
of : asu
amoz : ammoz
to_see (past) : uzeTo
. : .
on : aL
a : a
bare (adj) : povamo
hill : Laqe
to_raise (imp) : uvouhia
a : a
signal : fekLem
, : ,
to_cry (imp) : ujzua
aloud : emaiTzi
to : tu
them : miim
, : ,
to_wave (imp) : uzozaa
the : da
hand : qafe 
for (prep) : huvuin
them : miim
to_enter : uiLtavu
the : da
gates : kotaT
of : asu
the : da
nobles (noun, pl) : omupmimoT 
. : .
i : eLe
myself : Lifansu
have : ueLanad
to_command (past) : ujuLneLTo
my : eLemza
consecrated (adj) : Tujumhixerotaumo 
ones : eLikamim
, : ,
have : ueLanad
to_summon (past) : ufiLnaLo
my : eLemza
warriors : zovzuuvim
, : ,
my : eLemza
proudly (adv) : bazaiTzi
exulting : uijomtuLka
ones : eLikamim
, : ,
to_execute : ujixodiu
my : eLemza
anger : eLkav
. : .
to_listen (imp) : unefdiLa
, : ,
a : a
tumult (noun) : otiLinda
on : aL
the : da
mountains : ziazuT
as : eh
of : asu
a : a
great : kaziotmo
multitude : Lindudoti
. : . : . : .: . : .
to_listen (imp) : unefdiLa
, : ,
a : a
uproar : oobvuez
of : asu
kingdoms : zondegoLtoT
, : ,
of : asu
nations : moteuLim
gathering : ukodavuLka
together : kuftafhezi
. : . : . : .: . : .
the : da
lord : etme
of : asu
hosts : sufduT
to_be : uamu
mustering : uLifdizuLka
a : a
army : ezLaxo
for (prep) : huvuin
battle : potdana
. : .
they : mi
to_come : ujuLau
from : hazani
a : a
distant : TefdeLtmo
land : nomta
, : ,
from : hazani
the : da
end : iLTu
of : asu
the : da
heavens : toerehut
, : ,
the : da
lord : etme
and : oxe
the : da
weapons : zaebaLfim
of : asu
his : saLza
indignation : fiotdunoha 
, : ,
to_destroy : utisutu
the : da
whole : ququmo
earth : iovTa
. : .
to_wail (imp) : uzouma
, : ,
for (conj) : huvupu
the : da
day : bauri
of : asu
the : da
lord : etme
to_be : uamu
near (adj) : nasanmemo
. : .
it : fa
will : danaLeu
to_come : ujuLau
like : qiuL
destruction : omutisuta
from : hazani
the : da
almighty : emLekfati
. : .
therefore : izqu
all : bom
hands : qafeT
will : danaLeu
to_to_be : tupa
feeble : haipnamo
, : ,
and : oxe
every : exuqo
human (adj) : siLomamo
heart : fiTam
will : danaLeu
to_melt : uLandu
, : ,
and : oxe
they : mi
will : danaLeu
to_to_be : tupa
dismayed : cuTefneinimo  
. : .
pangs : bomqaT
and : oxe
agony : eqaLu
will : danaLeu
to_seize : ufauviu
them : miim
. : .
they : mi
will  danaLeu
to_to_be : tupa
in : uL
anguish : eLkiuhsa
like : qiuL
a : a
woman : zuLom
in : uL
labor : punopuviu
. : .
they : mi
will : danaLeu
to_look : unaugou
at : ed
one : eLikam
another : tuuLiL
. : . : . : .: . : .
their : miza
faces : qofradim
will : danaLeu
to_to_be : tupa
aflame (adj) : esnoLamo
. : .
to_see (imp) : uzeTa
, : ,
the : da
day : bauri 
of : asu
the : da
lord : etme
to_come : ujuLau
, : ,
cruel : juzoanmo
, : ,
with : qemhe
wrath : zazeT
and : oxe
fierce : heizjamo
anger : eLkav
, : ,
to_make : uLaqau
the : da
earth : iovTa
a : a 
desolation (noun) : oTafunoteaL
, : ,
and : oxe
to_destroy : utisutu
its : safaza
sinners : butimduT
from : hazani 
it: fa
. : .
for (conj) : huvupu
the : da
stars : tasduT
of : asu
the : da 
heavens : toerehuT
and : oxe
their : miza
constellations : tastuhatoT
will : danaLeu
not : mot
to_give (fut) : ukezi
their : miza
light : nekfuta
. : .
the : da
sun : sanaeh
will : danaLeu
to_to_be : tupa
dark : Tovgumo
at : ed
its : safaza
rising (noun)  : obuvefauLka 
, : ,
and : oxe
the : da
moon : nimo
will : danaLeu
not : mot
to_shed : ufafitu
its : safaza 
light : nekfuta
. : .
i : eLe
will : danaLeu
to_punish : ubimefafu
the : da
world : zavnuTa
because : qufge
of : asu 
its : safaza
evil : vuirum
and : oxe
the : da
wicked (noun, : , pl) : obosiohaT
because : qufge
of : asu
their : miza
iniquity : buLukaeti
. : .
i : eLe
will : danaLeu
to_put : ubitu
a : a
end : iLTu
to : tu
the : da
pride : bazuti
of : asu
the : da
arrogant (noun, : , pl) : ocezvukomduT
, : ,
and : oxe
to_lay : unouu
low (adv) : nuzazi
the : da
insolence : oduLfunamdu
of : asu
tyrants : tivomduT
. : .
i : eLe
will : danaLeu
to_make : uLaqau
mortals : Luvtomim
more (adv) : nefazi
rare (adj) :  vovimo
than : dam 
fine (adj) : hemamo
gold : qinde
and : oxe
humans : siLomim
than : dam
the : da
gold : qinde
of : asu
ophir : ofir
. : .
therefore : izqu
i : eLe
will : danaLeu
to_make : uLaqau
the : da
heavens : toerehuT
to_tremble : utzinpamiu
, : ,
and : oxe
the : da
earth : iovTa
will : danaLeu
to_to_be : tupa
shaken : pufafogiuki 
out : aut
of : asu 
its : safaza
place (noun) : obamexi
, : ,
at : ed
the : da
wrath : zazeT
of : asu
the : da
lord : etme
of : asu
hosts : sufduT
, : ,
in : uL
the : da
day : bauri
of : asu
his : saLza
fierce : heizjamo
anger : eLkav
. : .
like : qiuL
a : a
hunted (adj) : busimdumo
gazelle : gazeL
or : az
like : qiuL
sheep : noLnehim
with : qenhe
nobody : mupuTu
to_to_gather : tukodavu
them : miim
, : ,
all : bom
will : danaLeu
to_turn : utivLu
to : tu
their : miza
own : armu
people : kuunim
and : oxe
all : bom
will : danaLeu
to_flee : uhmiadu
to : tu
their : miza
own : armu
lands : nomtaT
. : .
whoever : zufaazav
to_be (fut) : uami
found : cuhemtuni
will : danaLeu
to_to_be : tupa
thrust : cudzohtuni
through : dazo
and : oxe
whoever: zufaazav
to_be : uami
caught : cujotexini
will : danaLeu
to_fall : uhonmu
by : pi 
the : da
sword : fazasa
. : .
their : miza
infants : ruLhomdaT
will : danaLeu
to_to_be : tupa
dashed : duTofafitni
to : tu
pieces : bonoT
before : pahuv
their : miza
eyes : fenaneT
. : .
their : miza
houses : gatonuT
shall : ufanmu
to_to_be : tupa
plundered : rubmoLTavuni
and : oxe
their : miza
wives : zehaT
to_to_be : tupa
ravished : buvozefafuni
. : .
to_see (imp) : uzeTa
, : ,
i : eLe
to_stir : ufduzu
up : maoho
the : da
medes : medim
against : egeemhutu
them : miim
, : ,
who : qiqo
to_have : utuseu
no : iL
regard (noun) : ovakovtu
for (prep) : huvuin
silver : fenriz
and : oxe
not : mot
to_delight : uTanekfatu
in : uL
gold : qinde
. : . : . : .: . : .
their : miza
bows : opuzim
will : danaLeu
to_slaughter : ufmeikfatavu
the : da
young : gamiamo
men : LaihuT
. : .
they : mi
will : danaLeu
not : mot
to_have : utuseu
mercy : Lavexu
on : aL
the : da
fruit : hazoet
of : asu
the : da
womb : qusdo
. : .
their : miza
eyes : fenaneT
will : danaLeu
not : mot
to_pity : ubetiu
children : jentuuT
. : . : . : .: . : .
and : oxe
babylon : babiLon
, : ,
the : da 
glory : kumazu
of : asu
kingdoms : zondegoLtoT
, : ,
the : da
splendour : fabnamtaiv
and : oxe
pride : bazuti
of : asu
the : da
chaldeans : caLdeanim
will : danaLeu
to_to_be : tupa
like : qiuL
sodom : sodom
and : oxe
gomorrah : gomorah
when : qom
god : kut
to_overthrow (past) : uarizdazaro
them : miim
. : . : . : .: . : .
it : fa
will : danaLeu
never : mazav
to_to_be : tupa
inhabited : cuuLsopetuni
or : az
to_to_be : tupa
lived : cunezunini
in : uL
for (prep) : huvuin
all : bom
generations : fiqibunruT
. : . : . : .: . : .
arabs : arabim
will : danaLeu
not : mot
to_pitch : ubetexu
their : miza
tents : tamduT
there : dava
. : .
shepherds : bunoLnehsavtuT
will : danaLeu
not : mot
to_make : uLaqau
their : miza
flocks : neoneT
to_lay (fut) : unoui
down : TuzLa
there : dava
. : .
but : pit 
wild : zentamo
animals : imeemim
will : danaLeu
to_lay : unouu
there : dava
and : oxe
its : safaza
houses : gatonuT
will : danaLeu
to_to_be : tupa
full (adj) : hinmamo
of : asu
howling (adj) : suzmuLkmo
creatures : jeziotivaT
. : .
there : dava
ostriches : fedvithuT
will : danaLeu
to_live : unezu
and : oxe
there : dava
goat : kueda
demons : TaLumim
will : danaLeu
to_dance : uTomexiu
. : .
hyenas : siiLeT
will : danaLeu
to_cry (fut) : ujzui
in : uL
its : safaza
towers : duvLuT
and : oxe
jackals : exojgemim
in : uL
the : da
pleasant : bamiofomdamo
places : obamexiuT
. : .
its : safaza
time : ieqo
to_be : uamu
close (adj) : jamahimo
at : ed
hand : qafe
and : oxe
its : safaza
days : bauriT
will : danaLeu
not : mot
to_to_be : tupa
prolonged : cubzamaLkuni
. : . : . : .: . : .
__: bobo
#---------------------------ch 14 
but : pit
the : da
lord : etme
will : danaLeu
to_have : utuseu
compassion : juLbehfeam
on : aL
jacob : jakob
and : oxe
he : sa
will : danaLeu
to_choose : ujirau
israel : israeL
and : ox
he : sa
will : danaLeu
to_set : ufatu
them : miim
in : uL
their : miza
own : armu
land : nomta
. : .
and : oxe
aliens : emuamim
will : danaLeu
to_join : uxueLu
them : miim
and : oxe
to_attach : uedtoju
themselves : daLhinhim
to : tu
the : da
house : gatonu
of : asu
jocob : jakob
. : .
and : oxe
the : da
nations : moteuLim
will : danaLeu
to_take : utoqau
them : miim
and : oxe
to_bring : upzuLku
them : miim
to : tu
their : miza
place : obamexiu
. : . : . : .: . : .
and : oxe
the : da
house : gatonu
of : asu
israel : israeL
will : danaLeu
to_possess : ubufhihafu
the : da
nations : moteuLim
as : eh
male : Lonimo
and : oxe
female : haLonimo
slaves : azaxoT
in : uL
the : da
land : nomta
of : asu
the : da
lord : etme
. : .
they : mi
will : danaLeu
to_take :  utoqau
captive : cujobdozuni
those : dufa
who : qiqo
to_be (past) : uamo
their : miza
captors : jobdazim
and : oxe
to_rule : uvinau
over : ariz 
those : dufa
who : qiqo
to_oppress (past) : uabvafio
them : miim
. : .
when : qom
the : da
lord : etme
have : ueLanad
to_give  (past) : ukezo 
you : fema
rest (noun) : ovafdu
from : hazani
your : femazi
pain : bouL
and : oxe
turmoil : tivnaun
and : oxe
hard : sovtamo
service : ocufavriu
with : qemhe
which : zexu
you : fema
to_be (past) : uamo
to_make (past) : uLaqao
to_serve : ufavrio
, : ,
then : fenmaem
you : fema
will : danaLeu
to_take : utoqau
up : maoho
this : def 
taunt (noun) : ocutooLtu
against : egeemhutu
the : da
king : vacu
of : asu
babylon : babaLon
. : .
how : suo
the : da
oppressor : abubzihfuva
have : ueLanad
to_cease (past) : ujaehio 
. : .
how : suo
his : saLza
insolence (noun) : oduLfanumdu
have : ueLanad
to_cease (past) : ujaehio
. : .
the : da
lord : etme
have : ueLanad
to_break (past) : upzioqo
the : da
staffs : fadeshaT
of : asu
the : da
wicked (noun, : , pl) : obosiohaT
, : ,
the : da
scepters : fexibtavim
of : asu
rulers : vinavaT
that : idta
to_strike (past) : ufdavoqo
down : TuzLa
the : da
peoples : kuunimim
in : uL
wrath : zazeT
with : qemhe
unceasing (adj) :  oLjaehuLkamo
blows : pemarim
, : ,
that : idta
to_rule (past) : uvinao
the : da
nations : moteuLim
in : uL
anger : eLkav
with : qemhe
unrelinting : iLvanamduLka
persecution (noun) : obuzouLadou
. : . : . : .: . : .
the : da
whole : ququmo
earth : iovTa
to_be : uamu
at : ed
to_rest : uvafdu
and : oxe
quiet : giuatmo
. : . : . : .: . : .
they : mi
to_break : upzioqu
forth : huvaTzi
into : duLtu
singing (noun) : obufumquLka
. : . : . : .: . : .
the : da
cypresses : jibzihafim
to_exult : uijomtu
over : ariz
you : fema
, : ,
the : da
cedars : jaTovim
of : asu
lebanon : Lebanon
saying : ubofuLka
' : qi
since (adv) : femexizi
you : fema 
to_be (past) : uamo
laid : cunouki 
low (adj) : nuzmo
, : ,
nobody : mupuTu
to_come : ujuLau
to_to_cut : tujitu
us : La
down : TuzLa
. : .
' : qu
sheol : fufiun
beneath (prep) : pamaeTin
to_be : uamu
stirred : cufduzni
up : maoho
to_meet : uLaidu
you : fema
when : qom
you : fema
to_come  : ujuLau
. : .
it : fa
to_rouse : uvuohiu
the : da
umbras : onpazeT
to_greet : ukziatu
you : fema
, : ,
